Gesture,Group1,Group2,Z-Stat,p-value,Corrected p-value
Increase volume,Human-STR,GPT4o-STR,6.801671683521462,1.0341206150580154e-11,1.2409447380696184e-09
Increase volume,Human-STR,GPT5-STR,8.760785141783364,1.938950690489493e-18,2.326740828587392e-16
Increase volume,Human-STR,Gemini-STR,9.762467679725136,1.6313653620764043e-22,1.9576384344916853e-20
Increase volume,Human-STR,Sonnet-STR,7.663000454612982,1.816387024634626e-14,2.179664429561551e-12
Increase volume,Human-STR,Grok-STR,10.049475077101276,9.235806615377385e-24,1.1082967938452861e-21
Increase volume,GPT4o-STR,Grok-STR,4.001108645422112,6.304640018111064e-05,0.007565568021733277
Decrease volume,Human-STR,GPT4o-STR,10.84323350626035,2.1474412220230973e-27,2.576929466427717e-25
Decrease volume,Human-STR,GPT5-STR,10.503933891757116,8.285366228527849e-26,9.94243947423342e-24
Decrease volume,Human-STR,Gemini-STR,9.06120712970765,1.2901475616128073e-19,1.548177073935369e-17
Decrease volume,Human-STR,Sonnet-STR,12.033544193812062,2.3677384371509328e-33,2.8412861245811195e-31
Decrease volume,Human-STR,Grok-STR,12.618781346252822,1.6637597806071976e-36,1.996511736728637e-34
Decrease volume,Gemini-STR,Sonnet-STR,4.119014796615428,3.804957164960475e-05,0.00456594859795257
Decrease volume,Gemini-STR,Grok-STR,4.98303351447485,6.259510367837944e-07,7.511412441405532e-05
Mute microphone,Human-STR,GPT4o-STR,5.5137078563185,3.5135163865176035e-08,4.216219663821124e-06
Mute microphone,Human-STR,GPT5-STR,4.646212473461339,3.380847935197768e-06,0.00040570175222373215
Mute microphone,Human-STR,Gemini-STR,5.5137078563185,3.5135163865176035e-08,4.216219663821124e-06
Mute microphone,Human-STR,Sonnet-STR,7.304096646871601,2.7913569254357863e-13,3.349628310522943e-11
Mute microphone,Human-STR,Grok-STR,4.210254944108261,2.550826749524147e-05,0.003060992099428976
Unmute microphone,Human-STR,GPT4o-STR,3.974938143481439,7.039755047435625e-05,0.00844770605692275
Unmute microphone,Human-STR,GPT5-STR,3.5988480270914023,0.00031962989620943255,0.03835558754513191
Unmute microphone,Human-STR,Gemini-STR,4.00739613587475,6.139184516040012e-05,0.0073670214192480135
Unmute microphone,Human-STR,Sonnet-STR,4.843988871919145,1.2725806281624833e-06,0.000152709675379498
Unmute microphone,Human-STR,Grok-STR,4.782492857672326,1.7313454096538331e-06,0.00020776144915845998
Turn off camera,Human-STR,GPT4o-STR,5.782396206656794,7.364400741978512e-09,8.837280890374214e-07
Turn off camera,Human-STR,GPT5-STR,4.659659326998149,3.1673315294966417e-06,0.000380079783539597
Turn off camera,Human-STR,Gemini-STR,5.318665113022826,1.0453133296807692e-07,1.254375995616923e-05
Turn off camera,Human-STR,Sonnet-STR,5.097450306265308,3.442587460446559e-07,4.1311049525358706e-05
Turn off camera,Human-STR,Grok-STR,4.754242101660306,1.991922289276331e-06,0.00023903067471315974
Turn on camera,Human-STR,GPT4o-STR,3.5918912720504554,0.000328286821860433,0.039394418623251964
Turn on camera,Human-STR,GPT5-STR,3.7279250702213567,0.0001930627562558179,0.023167530750698148
Turn on camera,Human-STR,Gemini-STR,4.018111136315222,5.86665275685598e-05,0.007039983308227176
Turn on camera,Human-STR,Grok-STR,3.669250355724489,0.00024326276099825698,0.02919153131979084
Ask for a question,Human-STR,GPT4o-STR,5.171356593369378,2.324005905210912e-07,2.7888070862530943e-05
Ask for a question,Human-STR,Gemini-STR,3.6371423562974257,0.00027567958521210656,0.03308155022545279
Ask for a question,Human-STR,Sonnet-STR,6.547806120424003,5.838845106571142e-11,7.00661412788537e-09
Ask for a question,Human-STR,Grok-STR,4.4008935949603645,1.0780598407484489e-05,0.0012936718088981387
Ask for a question,GPT5-STR,Sonnet-STR,4.23113326521965,2.325168548532745e-05,0.002790202258239294
End call,Human-STR,Gemini-STR,3.6786538971703346,0.00023446819326585465,0.02813618319190256
End call,GPT4o-STR,Gemini-STR,4.06735802101614,4.7549160986214656e-05,0.005705899318345759
End call,GPT5-STR,Gemini-STR,3.532273800321325,0.0004120025332787071,0.04944030399344485
End call,Gemini-STR,Sonnet-STR,-4.605636866814764,4.112054208935156e-06,0.0004934465050722187
End call,Gemini-STR,Grok-STR,-3.832509851987881,0.000126842517921876,0.015221102150625119
