Group,Gesture,Accuracy,Correct,Incorrect
Human-STR,Increase volume,0.86,86,14
Human-STR,Decrease volume,0.9702970297029703,98,3
Human-STR,Mute microphone,0.6907216494845361,67,30
Human-STR,Unmute microphone,0.30612244897959184,30,68
Human-STR,Turn off camera,0.39603960396039606,40,61
Human-STR,Turn on camera,0.24509803921568626,25,77
Human-STR,Ask for a question,0.9803921568627451,100,2
Human-STR,End call,0.29591836734693877,29,69
GPT4o-STR,Increase volume,0.3939393939393939,39,60
GPT4o-STR,Decrease volume,0.22,22,78
GPT4o-STR,Mute microphone,0.29591836734693877,29,69
GPT4o-STR,Unmute microphone,0.08163265306122448,8,90
GPT4o-STR,Turn off camera,0.05154639175257732,5,92
GPT4o-STR,Turn on camera,0.061224489795918366,6,92
GPT4o-STR,Ask for a question,0.7227722772277227,73,28
GPT4o-STR,End call,0.32323232323232326,32,67
GPT5-STR,Increase volume,0.24242424242424243,24,75
GPT5-STR,Decrease volume,0.24489795918367346,24,74
GPT5-STR,Mute microphone,0.36,36,64
GPT5-STR,Unmute microphone,0.09195402298850575,8,79
GPT5-STR,Turn off camera,0.11,11,89
GPT5-STR,Turn on camera,0.05319148936170213,5,89
GPT5-STR,Ask for a question,0.8712871287128713,88,13
GPT5-STR,End call,0.2857142857142857,28,70
Gemini-STR,Increase volume,0.17,17,83
Gemini-STR,Decrease volume,0.37,37,63
Gemini-STR,Mute microphone,0.29591836734693877,29,69
Gemini-STR,Unmute microphone,0.08080808080808081,8,91
Gemini-STR,Turn off camera,0.07291666666666667,7,89
Gemini-STR,Turn on camera,0.042105263157894736,4,91
Gemini-STR,Ask for a question,0.8316831683168316,84,17
Gemini-STR,End call,0.09,9,91
Sonnet-STR,Increase volume,0.3229166666666667,31,65
Sonnet-STR,Decrease volume,0.11578947368421053,11,84
Sonnet-STR,Mute microphone,0.16842105263157894,16,79
Sonnet-STR,Unmute microphone,0.041666666666666664,4,92
Sonnet-STR,Turn off camera,0.07777777777777778,7,83
Sonnet-STR,Turn on camera,0.0967741935483871,9,84
Sonnet-STR,Ask for a question,0.6082474226804123,59,38
Sonnet-STR,End call,0.3645833333333333,35,61
Grok-STR,Increase volume,0.13829787234042554,13,81
Grok-STR,Decrease volume,0.07291666666666667,7,89
Grok-STR,Mute microphone,0.38461538461538464,35,56
Grok-STR,Unmute microphone,0.0425531914893617,4,90
Grok-STR,Turn off camera,0.09782608695652174,9,83
Grok-STR,Turn on camera,0.05434782608695652,5,87
Grok-STR,Ask for a question,0.78,78,22
Grok-STR,End call,0.30851063829787234,29,65
