Gesture,Group1,Group2,Z-Stat,p-value,Corrected p-value
Increase volume,Human-NSTR,GPT4o-NSTR,6.213735965758538,5.173943930367364e-10,6.208732716440837e-08
Increase volume,Human-NSTR,GPT5-NSTR,6.380045599260285,1.770352624169123e-10,2.1244231490029477e-08
Increase volume,Human-NSTR,Gemini-NSTR,5.406969721699283,6.409997434739373e-08,7.691996921687247e-06
Increase volume,Human-NSTR,Sonnet-NSTR,5.406969721699283,6.409997434739373e-08,7.691996921687247e-06
Increase volume,Human-NSTR,Grok-NSTR,7.600737202071207,2.944485178359577e-14,3.5333822140314927e-12
Increase volume,GPT4o-NSTR,GPT5-NSTR,0.20049200566350597,0.8410958096283867,1.0
Increase volume,GPT4o-NSTR,Gemini-NSTR,-0.928555172495719,0.3531196625142531,1.0
Increase volume,GPT4o-NSTR,Sonnet-NSTR,-0.928555172495719,0.3531196625142531,1.0
Increase volume,GPT4o-NSTR,Grok-NSTR,1.805751716249845,0.07095713052180293,1.0
Increase volume,GPT5-NSTR,Gemini-NSTR,-1.1272037239532688,0.25965635637045026,1.0
Increase volume,GPT5-NSTR,Sonnet-NSTR,-1.1272037239532688,0.25965635637045026,1.0
Increase volume,GPT5-NSTR,Grok-NSTR,1.612790406771712,0.10679005101163129,1.0
Increase volume,Gemini-NSTR,Sonnet-NSTR,0.0,1.0,1.0
Increase volume,Gemini-NSTR,Grok-NSTR,2.685900504327415,0.007233462519264846,0.8680155023117815
Increase volume,Sonnet-NSTR,Grok-NSTR,2.685900504327415,0.007233462519264846,0.8680155023117815
Decrease volume,Human-NSTR,GPT4o-NSTR,10.226468783537344,1.5092247817853167e-24,1.8110697381423802e-22
Decrease volume,Human-NSTR,GPT5-NSTR,10.782674857990767,4.156209687900452e-27,4.9874516254805425e-25
Decrease volume,Human-NSTR,Gemini-NSTR,10.502605381159839,8.402832476307268e-26,1.0083398971568721e-23
Decrease volume,Human-NSTR,Sonnet-NSTR,11.948985820273654,6.572235108322177e-33,7.886682129986612e-31
Decrease volume,Human-NSTR,Grok-NSTR,11.609194335052054,3.70086124897467e-31,4.441033498769604e-29
Decrease volume,GPT4o-NSTR,GPT5-NSTR,0.8138413004619895,0.41573587168781145,1.0
Decrease volume,GPT4o-NSTR,Gemini-NSTR,0.39537556712632044,0.6925657378908834,1.0
Decrease volume,GPT4o-NSTR,Sonnet-NSTR,2.8253510747608295,0.004722883703920488,0.5667460444704585
Decrease volume,GPT4o-NSTR,Grok-NSTR,2.233419641428254,0.02552128412321643,1.0
Decrease volume,GPT5-NSTR,Gemini-NSTR,-0.4199024457639103,0.6745567209983852,1.0
Decrease volume,GPT5-NSTR,Sonnet-NSTR,2.0833687940244503,0.037217620458992205,1.0
Decrease volume,GPT5-NSTR,Grok-NSTR,1.4595412706825592,0.14441619014603055,1.0
Decrease volume,Gemini-NSTR,Sonnet-NSTR,2.4684387705911823,0.013570386596381455,1.0
Decrease volume,Gemini-NSTR,Grok-NSTR,1.8608915840278666,0.062759488504108,1.0
Decrease volume,Sonnet-NSTR,Grok-NSTR,-0.6646177359327731,0.506295022310424,1.0
Mute microphone,Human-NSTR,GPT4o-NSTR,2.955766180375191,0.003118934392082026,0.37427212704984314
Mute microphone,Human-NSTR,GPT5-NSTR,3.1004408548404743,0.0019323280078855987,0.23187936094627185
Mute microphone,Human-NSTR,Gemini-NSTR,2.0848251744943074,0.037085172695582626,1.0
Mute microphone,Human-NSTR,Sonnet-NSTR,5.24698600336608,1.5460763978546407e-07,1.8552916774255687e-05
Mute microphone,Human-NSTR,Grok-NSTR,1.28703946646375,0.19808053248383461,1.0
Mute microphone,GPT4o-NSTR,GPT5-NSTR,0.1544205435378043,0.877278156533188,1.0
Mute microphone,GPT4o-NSTR,Gemini-NSTR,-0.9003377572022974,0.3679405335944984,1.0
Mute microphone,GPT4o-NSTR,Sonnet-NSTR,2.5450516561429017,0.010926157363075483,1.0
Mute microphone,GPT4o-NSTR,Grok-NSTR,-1.758098145983065,0.07873081119613408,1.0
Mute microphone,GPT5-NSTR,Gemini-NSTR,-1.0531912703984048,0.2922533385768046,1.0
Mute microphone,GPT5-NSTR,Sonnet-NSTR,2.3982465678726093,0.016473771864720353,1.0
Mute microphone,GPT5-NSTR,Grok-NSTR,-1.910748120990877,0.056036957551314534,1.0
Mute microphone,Gemini-NSTR,Sonnet-NSTR,3.3817990718459545,0.000720127966078104,0.08641535592937248
Mute microphone,Gemini-NSTR,Grok-NSTR,-0.8489878332041589,0.39588806243349517,1.0
Mute microphone,Sonnet-NSTR,Grok-NSTR,-4.1934202957561855,2.7477965166875222e-05,0.0032973558200250267
Unmute microphone,Human-NSTR,GPT4o-NSTR,2.506603115955554,0.01218974967619554,1.0
Unmute microphone,Human-NSTR,GPT5-NSTR,1.9041536474109768,0.05689017653046394,1.0
Unmute microphone,Human-NSTR,Gemini-NSTR,1.5727642468584007,0.11577341717149967,1.0
Unmute microphone,Human-NSTR,Sonnet-NSTR,4.7871355387816905,1.6917858475478864e-06,0.00020301430170574636
Unmute microphone,Human-NSTR,Grok-NSTR,5.1453292807964415,2.670519666588855e-07,3.204623599906626e-05
Unmute microphone,GPT4o-NSTR,GPT5-NSTR,-0.6392263896582387,0.5226756669207369,1.0
Unmute microphone,GPT4o-NSTR,Gemini-NSTR,-0.949550130461426,0.3423408883234951,1.0
Unmute microphone,GPT4o-NSTR,Sonnet-NSTR,2.7741113581248795,0.0055352727279838,0.6642327273580559
Unmute microphone,GPT4o-NSTR,Grok-NSTR,3.259183128131869,0.0011173351942867758,0.1340802233144131
